iter	Passed	Remaining
0	134	134693
1	137	68535
2	138	46140
3	140	34945
4	141	28216
5	143	23731
6	144	20542
7	146	18165
8	148	16313
9	149	14839
10	151	13648
11	153	12626
12	154	11760
13	156	11020
14	158	10402
15	160	9859
16	161	9361
17	163	8920
18	165	8532
19	166	8172
20	168	7851
21	170	7574
22	172	7309
23	173	7061
24	175	6831
25	177	6636
26	179	6457
27	180	6275
28	182	6105
29	184	5960
30	185	5810
31	187	5666
32	188	5536
33	190	5418
34	192	5312
35	194	5202
36	195	5098
37	198	5013
38	199	4918
39	201	4826
40	202	4741
41	204	4664
42	206	4587
43	207	4514
44	209	4443
45	211	4385
46	212	4318
47	214	4253
48	215	4191
49	217	4136
50	219	4082
51	220	4027
52	222	3976
53	224	3927
54	225	3882
55	227	3835
56	228	3788
57	230	3743
58	232	3702
59	233	3661
60	235	3622
61	237	3587
62	238	3550
63	240	3516
64	241	3479
65	243	3444
66	245	3413
67	246	3382
68	248	3353
69	250	3322
70	251	3293
71	253	3265
72	254	3237
73	256	3212
74	258	3184
75	259	3160
76	261	3134
77	263	3112
78	264	3087
79	266	3065
80	268	3043
81	269	3021
82	271	2998
83	272	2975
84	274	2954
85	276	2934
86	277	2916
87	279	2898
88	281	2879
89	282	2860
90	284	2843
91	286	2824
92	287	2805
93	289	2787
94	291	2773
95	292	2758
96	294	2742
97	296	2726
98	298	2714
99	299	2698
100	301	2681
101	302	2665
102	304	2652
103	306	2640
104	308	2627
105	310	2615
106	312	2604
107	314	2593
108	315	2580
109	317	2568
110	319	2558
111	321	2546
112	322	2534
113	324	2522
114	326	2510
115	328	2500
116	329	2490
117	331	2478
118	333	2470
119	335	2460
120	337	2450
121	339	2440
122	340	2429
123	342	2423
124	344	2414
125	346	2406
126	348	2397
127	350	2390
128	352	2381
129	354	2374
130	357	2368
131	358	2359
132	360	2350
133	362	2343
134	364	2336
135	366	2327
136	368	2319
137	369	2310
138	371	2303
139	373	2294
140	375	2285
141	377	2280
142	379	2271
143	380	2264
144	382	2256
145	384	2249
146	386	2242
147	388	2234
148	389	2225
149	391	2218
150	393	2211
151	395	2204
152	396	2197
153	398	2189
154	400	2184
155	402	2177
156	404	2169
157	406	2164
158	408	2158
159	409	2151
160	411	2145
161	413	2139
162	416	2136
163	417	2130
164	419	2123
165	421	2119
166	423	2113
167	425	2106
168	427	2100
169	429	2097
170	431	2090
171	432	2082
172	434	2076
173	436	2070
174	437	2064
175	439	2057
176	441	2051
177	443	2047
178	445	2042
179	447	2036
180	448	2031
181	450	2026
182	452	2020
183	454	2015
184	456	2011
185	458	2006
186	460	2001
187	461	1995
188	464	1991
189	466	1987
190	467	1981
191	469	1975
192	471	1970
193	473	1967
194	475	1961
195	476	1954
196	478	1950
197	480	1945
198	482	1940
199	483	1935
200	485	1929
201	487	1925
202	489	1920
203	490	1915
204	492	1910
205	494	1905
206	496	1900
